facility_id,item_id,snapshot_date,on_hand_qty,on_hand_uom,stock_status,business_date,load_date,last_updated_at
FAC003,ITM047,2026-02-01,585,EACH,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC003,ITM041,2026-01-26,131,EACH,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC005,ITM026,2026-01-26,892,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC004,ITM049,2026-01-27,389,EACH,OK,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC003,ITM002,2026-01-31,694,EACH,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC005,ITM032,2026-01-27,333,CASE,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC005,ITM019,2026-01-30,668,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM024,2026-01-29,305,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM031,2026-01-25,69,CASE,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM047,2026-02-01,236,EACH,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC002,ITM028,2026-01-30,518,EACH,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM003,2026-01-30,13,CASE,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC003,ITM027,2026-01-28,719,EACH,OK,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC003,ITM014,2026-02-01,61,CASE,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC002,ITM032,2026-01-31,382,EACH,OK,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC001,ITM025,2026-01-25,876,EACH,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC001,ITM032,2026-01-25,95,CASE,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC004,ITM021,2026-01-31,529,EACH,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC005,ITM003,2026-01-29,690,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC001,ITM025,2026-01-30,195,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC004,ITM023,2026-02-01,508,EACH,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC002,ITM048,2026-01-26,734,EACH,OUT,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC005,ITM048,2026-02-01,163,EACH,OUT,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC004,ITM050,2026-01-30,298,EACH,OUT,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC004,ITM020,2026-01-25,125,CASE,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC002,ITM042,2026-01-26,47,EACH,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC005,ITM002,2026-01-26,619,CASE,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC004,ITM035,2026-02-01,365,CASE,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC001,ITM045,2026-01-28,11,EACH,OK,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC002,ITM032,2026-01-28,542,CASE,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC003,ITM030,2026-01-26,254,CASE,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC005,ITM020,2026-02-01,646,CASE,OK,2026-02-01,2026-02-01,2026-02-01 00:00:00
FAC005,ITM011,2026-01-31,496,CASE,OUT,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC003,ITM016,2026-01-31,552,EACH,OK,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC002,ITM028,2026-01-28,216,EACH,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC003,ITM015,2026-01-30,635,CASE,LOW,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM018,2026-01-26,853,EACH,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC002,ITM017,2026-01-25,60,CASE,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM031,2026-01-25,519,EACH,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC003,ITM013,2026-01-29,953,EACH,OK,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC004,ITM033,2026-01-29,814,CASE,OUT,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC005,ITM031,2026-01-26,804,EACH,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC004,ITM036,2026-01-30,489,CASE,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC001,ITM030,2026-01-31,935,CASE,LOW,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC002,ITM005,2026-01-25,549,EACH,OUT,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC001,ITM012,2026-01-29,961,EACH,OUT,2026-01-29,2026-02-01,2026-01-29 00:00:00
FAC005,ITM012,2026-01-28,101,CASE,OUT,2026-01-28,2026-02-01,2026-01-28 00:00:00
FAC004,ITM035,2026-01-27,540,EACH,LOW,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC005,ITM024,2026-01-31,428,EACH,OK,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC004,ITM001,2026-01-26,211,EACH,LOW,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC002,ITM029,2026-01-30,958,CASE,UNKNOWN,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC004,ITM033,2026-01-25,382,EACH,LOW,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC005,ITM022,2026-01-26,230,CASE,OK,2026-01-26,2026-02-01,2026-01-26 00:00:00
FAC001,ITM030,2026-01-30,883,EACH,OK,2026-01-30,2026-02-01,2026-01-30 00:00:00
FAC003,ITM050,2026-01-25,756,CASE,OK,2026-01-25,2026-02-01,2026-01-25 00:00:00
FAC004,ITM016,2026-01-31,14,CASE,OK,2026-01-31,2026-02-01,2026-01-31 00:00:00
FAC003,ITM035,2026-01-27,388,CASE,OUT,2026-01-27,2026-02-01,2026-01-27 00:00:00
FAC005,ITM018,2026-01-31,97,CASE,OK,2026-01-31,2026-02-01,2026-01-31 00:00:00
